"id,""event_name"",""link"",""locale"",""event_date"",""segment"",""genre"",""subgenre"",""start_salesdate"",""end_salesdate"",""minprice"",""maxprice"",""place"",""address"",""postalcode"",""city"""
"Z698xZC2Z1kbP-Ibt,""SC Fortuna Köln vs. SV Eintracht Hohkeppel | Pokal"",""https://www.ticketmaster.de/event/sc-fortuna-koln-vs-sv-eintracht-hohkeppel-%7C-pokal-tickets/625868629?language=en-us"",""en-us"",""2025-03-05"",""Sports"",""Soccer"",""Soccer"",""2025-01-31"",""2025-03-05"",""3.79"",""69.25"",""[{}]"",""Am Vorgebirgstor 2"",""50969"",""Cologne"""
"Z698xZC2Z174eJ4,""Loreen - Europe 2025 | VIP SOUNDCHECK & Q&A EXPERIENCE"",""https://www.ticketmaster.de/event/loreen-europe-2025-%7C-vip-soundcheck--qa-experience-tickets/542995?language=en-us"",""en-us"",""2025-03-04"",""Music"",""Rock"",""Pop"",""2024-05-09"",""2025-03-04"",""5.5"",""105.5"",""[{}]"",""Zellstraße 4"",""81667"",""Munich"""
"Z698xZC2Z1k88vI-A,""Orange Blossom - En Concert"",""https://www.ticketmaster.de/event/orange-blossom-en-concert-tickets/410068845?language=en-us"",""en-us"",""2025-03-05"",""Music"",""Rock"",""Pop"",""2024-11-07"",""2024-12-20"",""40.0"",""40.0"",""[{}]"",""Marlene-Dietrich-Platz 3"",""69126"",""Heidelberg"""
"Z698xZC2Z16v-soVC4,""Orange Blossom - En Concert"",""https://www.ticketmaster.de/event/orange-blossom-en-concert-tickets/1871474395?language=en-us"",""en-us"",""2025-03-04"",""Music"",""Rock"",""Pop"",""2024-11-07"",""2024-12-20"",""40.0"",""40.0"",""[{}]"",""Zellstraße 4"",""81667"",""Munich"""
"Z698xZC2Z16vGVPavZ,""Oliver Malcolm"",""https://www.ticketmaster.de/event/oliver-malcolm-tickets/1334949040?language=en-us"",""en-us"",""2025-03-04"",""Music"",""Rock"",""Pop"",""2025-01-30"",""2025-03-04"",""4.45"",""29.45"",""[{}]"",""Skalitzer Straße 85-86"",""10997"",""Berlin"""
"Z698xZC2Z1743v_,""Imagine Dragons: LOOM World Tour"",""https://www.ticketmaster.de/event/imagine-dragons-loom-world-tour-tickets/552059?language=en-us"",""en-us"",""2025-07-16"",""Music"",""Rock"",""Pop"",""2024-09-12"",""2025-07-16"",""7.05"",""259.0"",""Volksparkstadion"",""Uwe-Seeler-Allee 7"",""22525"",""Hamburg"""
"Z698xZC2Z1AUo9of,""The Rills - Don't Be A Stranger Tour"",""https://www.ticketmaster.de/event/the-rills-dont-be-a-stranger-tour-tickets/36457454?language=en-us"",""en-us"",""2025-03-05"",""Music"",""Rock"",""Pop"",""2024-12-06"",""2025-03-05"",""21.0"",""21.0"",""[{}]"",""Revaler Str. 99"",""10245"",""Berlin"""
"Z698xZC2Z16evzGaqv,""FLO - Access All Areas Tour"",""https://www.ticketmaster.de/event/flo-access-all-areas-tour-tickets/2078309741?language=en-us"",""en-us"",""2025-03-05"",""Music"",""R&B"",""R&B"",""2024-11-07"",""2025-03-05"",""30.0"",""30.0"",""[{}]"",""Spielbudenplatz 19"",""20359"",""Hamburg"""
"Z698xZC2Z16vxp44Je,""Imagine Dragons: LOOM World Tour | Business Seat Package"",""https://www.ticketmaster.de/event/imagine-dragons-loom-world-tour-%7C-business-seat-package-tickets/1896555982?language=en-us"",""en-us"",""2025-07-21"",""Music"",""Rock"",""Pop"",""2025-02-12"",""2025-07-21"",""329.0"",""329.0"",""[{}]"",""Mörfelder Landstraße 362"",""60528"",""Frankfurt am Main"""
"Z698xZC2Z1744fP,""EQUITANA 2025 - Pat Parelli LIVE | VIP Table"",""https://www.ticketmaster.de/event/equitana-2025-pat-parelli-live-%7C-vip-table-tickets/555525?language=en-us"",""en-us"",""2025-03-06"",""Sports"",""Equestrian"",""Equestrian"",""2024-11-06"",""2025-03-06"",""85.39"",""85.39"",""[{}]"",""Messeplatz 1"",""45131"",""Essen"""
"Z698xZC2Z174eP4,""Loreen - Europe 2025"",""https://www.ticketmaster.de/event/loreen-europe-2025-tickets/542955?language=en-us"",""en-us"",""2025-03-04"",""Music"",""Rock"",""Pop"",""2024-05-09"",""2025-03-04"",""35.0"",""35.0"",""[{}]"",""Zellstraße 4"",""81667"",""Munich"""
"Z698xZC2Z16evP_J0U,""The Rills - Don't Be A Stranger Tour 2025"",""https://www.ticketmaster.de/event/the-rills-dont-be-a-stranger-tour-2025-tickets/2065666936?language=en-us"",""en-us"",""2025-03-06"",""Music"",""Rock"",""Pop"",""2024-12-06"",""2025-03-06"",""0.7"",""24.85"",""[{}]"",""Luxemburger Straße 32"",""50674"",""Cologne"""
"Z698xZC2Z17fUuK,""The Music of Harry Potter – Live in Concert"",""https://www.ticketmaster.de/event/the-music-of-harry-potter--live-in-concert-tickets/536353?language=en-us"",""en-us"",""2025-03-04"",""Arts & Theatre"",""Spectacular"",""Spectacular"",""2024-02-21"",""2025-03-04"",""29.0"",""72.0"",""[{}]"",""Marlene-Dietrich-Platz 1"",""10785"",""Berlin"""
